map_no,squad_id,player_id,kills,assists,redeploys,damage,confidence
7,T06,minho,0,0,7,527,C
7,T06,nzdee,4,1,5,2368,C
7,T06,monkey,1,2,4,2121,C
8,T06,nzdee,7,2,3,3211,C
8,T06,monkey,3,1,6,2455,C
8,T06,minho,4,2,5,2700,C
1,T07,manemerc,9,4,8,5876,C
1,T07,lezafort,6,4,6,3811,C
1,T07,lupin,6,0,10,2975,C
2,T07,manemerc,15,1,11,7128,C
2,T07,lezafort,6,3,8,3634,C
2,T07,lupin,3,0,4,1362,C
3,T07,lupin,5,0,6,3519,C
3,T07,lezafort,3,3,6,2146,C
3,T07,manemerc,3,3,2,2759,C
4,T07,lezafort,6,6,5,4547,K
4,T07,lupin,8,2,4,3189,C
4,T07,manemerc,2,4,6,2730,C
5,T07,lezafort,6,2,4,2550,C
5,T07,manemerc,5,4,3,3841,C
5,T07,lupin,1,2,6,1935,C
6,T07,manemerc,1,1,0,700,C
6,T07,lezafort,0,0,0,267,C
6,T07,lupin,0,0,0,223,C
7,T07,manemerc,4,1,4,1583,C
7,T07,lezafort,5,2,5,3581,C
7,T07,lupin,3,0,5,1431,C
8,T07,lupin,6,0,5,2418,C
8,T07,lezafort,8,3,5,3388,C
8,T07,manemerc,5,4,3,3532,C
1,T08,zag,1,2,2,754,C
1,T08,kaiba,0,0,1,516,C
1,T08,clawssy,0,0,1,282,C
2,T08,zag,3,2,7,2196,C
2,T08,kaiba,5,1,5,3252,C
2,T08,clawssy,0,1,9,827,C
3,T08,zag,3,,,,U
3,T08,kaiba,5,,,,U
3,T08,clawssy,0,,,,U
4,T08,kaiba,11,2,5,5210,C
4,T08,zag,5,3,4,3453,C
4,T08,clawssy,0,1,4,1222,C
5,T08,kaiba,6,6,3,4426,C
5,T08,zag,9,2,0,4786,C
5,T08,clawssy,3,0,3,1624,C
6,T08,zag,4,0,4,2540,C
6,T08,kaiba,2,1,1,1314,C
6,T08,5thstump,2,1,7,1324,C
7,T08,kaiba,8,0,4,4229,C
7,T08,zag,6,1,5,3354,C
7,T08,5thstump,5,1,6,2179,C
8,T08,zag,6,1,3,3922,C
8,T08,kaiba,2,4,3,2853,C
8,T08,hooli,2,1,6,1806,C
1,T09,garra,9,0,4,4707,C
1,T09,nzzl,5,1,5,2388,C
1,T09,muk,2,0,4,1451,C
2,T09,nzzl,5,0,10,2912,C
2,T09,muk,1,1,11,833,C
2,T09,garra,2,1,5,1674,C
3,T09,garra,4,2,4,2791,C
3,T09,muk,3,1,6,1405,C
3,T09,nzzl,3,1,3,3131,C
4,T09,garra,2,,,,U
4,T09,muk,3,,,,U
4,T09,nzzl,7,,,,U
5,T09,garra,1,1,4,2568,C
5,T09,nzzl,1,1,4,1534,C
5,T09,muk,0,0,7,613,C
6,T09,muk,0,1,2,811,C
6,T09,garra,1,0,3,631,C
6,T09,nzzl,0,1,2,840,C
7,T09,garra,2,1,3,2230,C
7,T09,muk,2,0,7,1927,C
7,T09,nzzl,3,1,7,1364,C
8,T09,garra,0,,,,U
8,T09,muk,0,,,,U
8,T09,nzzl,0,,,,U
1,T10,jay,10,2,6,6020,C
1,T10,syzn,6,3,5,3789,C
1,T10,rev,4,3,8,2975,C
2,T10,jay,6,2,8,2380,C
2,T10,syzn,4,0,10,2321,C
2,T10,rev,1,2,8,1373,C
3,T10,jay,0,,,,U
3,T10,syzn,0,,,,U
3,T10,chuffy,2,,,,U
4,T10,rev,0,1,6,1057,C
4,T10,jay,3,2,3,2433,C
4,T10,syzn,2,0,8,1188,C
5,T10,jay,8,4,8,4730,C
5,T10,5thstump,0,1,9,895,C
5,T10,syzn,3,3,5,2389,C
6,T10,jay,7,2,1,4271,C
6,T10,syzn,5,0,3,2941,C
6,T10,chuffy,3,2,4,2735,C
7,T10,jay,9,5,7,4676,C
7,T10,syzn,3,6,6,2441,C
7,T10,chuffy,1,1,12,1768,C
8,T10,jay,11,1,6,5218,C
8,T10,syzn,7,3,5,3946,C
8,T10,chuffy,4,0,5,2278,C
1,T11,redshiftr,2,3,4,2300,C
1,T11,curnal,2,0,10,1601,C
1,T11,cheesey,5,3,5,3104,C
2,T11,curnal,4,0,8,1792,C
2,T11,redshiftr,0,1,4,893,C
2,T11,cheesey,0,1,4,888,C
3,T11,redshiftr,6,0,2,3940,C
3,T11,cheesey,5,1,4,3379,C
3,T11,curnal,1,1,4,1689,C
4,T11,redshiftr,5,4,4,3613,C
4,T11,cheesey,6,2,3,3051,C
4,T11,curnal,1,1,9,1599,C
5,T11,cheesey,7,3,10,3295,C
5,T11,redshiftr,3,3,10,2802,C
5,T11,curnal,0,2,6,1164,C
6,T11,redshiftr,1,0,3,799,C
6,T11,cheesey,0,1,4,1397,C
6,T11,curnal,0,1,11,44,C
7,T11,redshiftr,3,1,9,2317,C
7,T11,nazx,2,0,7,1647,C
7,T11,curnal,0,1,6,637,C
8,T11,redshiftr,2,0,2,1442,C
8,T11,nazx,0,1,3,1273,C
8,T11,curnal,1,0,1,696,C
1,T12,bang_bang,5,,,,U
1,T12,conr,2,,,,U
1,T12,haiyz,1,,,,U
2,T12,bang_bang,9,1,5,4530,C
2,T12,conr,1,2,4,1465,C
2,T12,haiyz,4,3,3,2676,C
3,T12,conr,4,0,7,2851,C
3,T12,bang_bang,7,2,4,3180,C
3,T12,haiyz,3,5,3,2169,C
4,T12,bang_bang,3,2,8,3264,C
4,T12,haiyz,3,1,6,2028,C
4,T12,conr,1,0,8,1952,C
5,T12,haiyz,5,4,6,3595,C
5,T12,bang_bang,4,1,4,3091,C
5,T12,conr,3,0,5,1484,C
6,T12,conr,0,1,5,1084,C
6,T12,bang_bang,4,3,4,2891,C
6,T12,haiyz,3,0,5,2353,C
7,T12,bang_bang,3,1,8,2639,C
7,T12,haiyz,3,1,7,2022,C
7,T12,conr,2,0,8,1459,C
8,T12,bang_bang,,,,,U
8,T12,conr,,,,,U
8,T12,haiyz,,,,,U
